time,T,H,L,t
16:08:02.480389,22.4,62.0,196.0,553.0
16:08:40.867656,22.4,62.0,194.0,552.0
16:09:19.271760,22.4,62.0,194.0,553.0
16:09:57.723655,22.4,62.0,193.0,554.0
16:10:36.123303,22.4,62.0,191.0,552.0
16:11:14.595653,22.4,62.0,190.0,551.0
16:11:52.971796,22.4,62.0,190.0,552.0
16:12:31.391747,22.5,62.0,189.0,552.0
16:13:09.777110,22.4,62.0,189.0,551.0
16:13:48.175746,22.5,62.0,187.0,552.0
16:14:26.563762,22.5,62.0,186.0,552.0
16:15:04.947783,22.5,62.0,186.0,550.0
16:15:43.363785,22.5,62.0,185.0,551.0
16:16:21.839654,22.5,62.0,184.0,550.0
16:17:00.260043,22.5,62.0,183.0,551.0
16:17:38.656628,22.5,62.0,183.0,551.0
16:18:17.055325,22.6,62.0,182.0,551.0
16:18:55.443684,22.6,62.0,180.0,551.0
16:19:33.848877,22.6,62.0,180.0,551.0
16:20:12.267671,22.6,62.0,179.0,552.0
16:20:50.697697,22.6,62.0,180.0,549.0
16:21:29.128907,22.6,62.0,178.0,551.0
16:22:07.475592,22.6,61.0,176.0,551.0
16:22:45.895771,22.6,65.0,176.0,550.0
16:23:24.299149,22.8,62.0,176.0,550.0
16:24:02.698544,22.8,62.0,175.0,551.0
16:24:41.111707,22.8,70.0,826.0,476.0
16:25:19.476703,22.9,61.0,173.0,547.0
16:25:57.964718,23.2,61.0,173.0,548.0
16:26:36.387746,23.1,61.0,172.0,550.0
16:27:14.797952,23.0,61.0,171.0,552.0
16:27:53.235744,22.9,61.0,171.0,550.0
16:28:31.639760,22.9,61.0,174.0,550.0
16:29:10.035598,22.9,61.0,171.0,550.0
16:29:48.438189,22.9,61.0,169.0,550.0
16:30:26.903596,22.8,61.0,170.0,550.0
16:31:05.307741,22.8,61.0,168.0,550.0
16:31:43.727632,22.9,61.0,168.0,550.0
16:32:22.115645,22.8,61.0,167.0,551.0
16:33:00.507768,22.8,61.0,167.0,550.0
16:33:38.889094,22.8,61.0,166.0,551.0
16:34:17.279651,22.8,61.0,166.0,552.0
16:34:55.660071,22.8,61.0,165.0,551.0
16:35:34.084500,22.8,61.0,165.0,551.0
16:36:12.495740,22.8,61.0,164.0,551.0
16:36:50.878552,22.8,61.0,165.0,550.0
16:37:29.268844,22.8,61.0,163.0,552.0
16:38:07.691740,22.8,61.0,163.0,551.0
16:38:46.167719,22.7,61.0,162.0,550.0
16:39:24.591750,22.8,61.0,161.0,551.0
16:40:03.046363,22.8,61.0,161.0,550.0
16:40:41.468390,22.8,61.0,161.0,548.0
16:41:19.880702,22.8,61.0,160.0,550.0
16:41:58.294854,22.8,61.0,160.0,551.0
16:42:36.719660,22.9,61.0,160.0,551.0
16:43:15.071761,22.8,61.0,159.0,550.0
16:43:53.495635,22.8,61.0,158.0,550.0
16:44:31.898516,22.8,61.0,157.0,551.0
16:45:10.359656,22.8,61.0,158.0,550.0
16:45:48.771638,22.8,61.0,156.0,550.0
